element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Kr	28	"0.67259"	"*"	""		"1901350"	"16769200"	"2s.2p6"	"2S"	"1/2"	"2s.2p5.(2P<3/2>).3d"	"(1,3/2)*"	"1/2"		""	"L9749"	
Kr	28	"0.67259"	"*"	""		"1901350"	"16769200"	"2s.2p6"	"2S"	"1/2"	"2s.2p5.(2P<3/2>).3d"	"(1,3/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.6735"	""	""		"[1183991]"	"16032000"	"2p6.3d"	"2D"	"5/2"	"2p5.(2P*<1/2>).3d2.(3P<1>)"	"(1/2,1)*"	"3/2"		""	"L11955"	
Kr	26	"0.67688"	""	""		"0"	"14772600"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3s.3d"	"(1,3/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.67764"	""	""		"[454413]"	"15211500"	"2p6.3p"	"2P*"	"1/2"	"2p5.(2P*<1/2>).3p.3d"	"(1,3/2)"	"3/2"		""	"L9749"	
Kr	25	"0.67909"	""	""		"0"	"14725600"	"2p6.3s2"	"1S"	"0"	"2p5.3s2.3d"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	26	"0.68472"	""	""		"0"	"14604500"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3p2.(1D<2>)"	"(1/2,2)*"	"3/2"		""	"L9749"	
Kr	27	"0.68787"	"10"	""		"0"	"14537600"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3d"	"(3/2,5/2)*"	"1"		""	"L9749"	
Kr	28	"0.6881"	""	""		"446440"	"14980400"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P<2>).3d"	"(2,5/2)"	"3/2"		""	"L4863"	
Kr	26	"0.68863"	""	""		"0"	"14521600"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3p2.(3P<1>)"	"(1/2,1)*"	"3/2"		""	"L9749"	
