element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ar	2	"2038.8330"	"6"	""		"203345.0332"	"208249.7978"	"3s2.3p4.(3P).6p"	"2D*"	"3/2"	"3s2.3p4.(3P).7s"	"2P"	"3/2"		""	"L11520"	
Ar	2	"2038.8982"	"27"	""		"200151.7014"	"205056.3109"	"3s2.3p4.(3P).5d"	"4D"	"3/2"	"3s2.3p4.(3P<2>).5f"	"2[2]*"	"3/2"		""	"L11520"	
Ar	2	"2039.2961"	"15?"	""		"201351.6169"	"206255.2684"	"3s2.3p4.(3P).5d"	"4F"	"5/2"	"3s2.3p4.(3P<1>).5f"	"2[3]*"	"5/2"		""	"L11520"	
Ar	2	"2041.9991"	"9"	""		"200032.2867"	"204929.4477"	"3s2.3p4.(3P).6s"	"2P"	"3/2"	"3s2.3p4.(3P).6p"	"2S*"	"1/2"		""	"L11520"	
Ar	2	"2043.3089"	"16"	""		"201351.6169"	"206245.6390"	"3s2.3p4.(3P).5d"	"4F"	"5/2"	"3s2.3p4.(3P<1>).5f"	"2[3]*"	"7/2"		""	"L11520"	
Ar	2	"2046.48010"	"60"	""		"185624.8282"	"190511.2674"	"3s2.3p4.(3P).4d"	"4F"	"7/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"		""	"L11520"	
Ar	2	"2058.7808"	"7"	""		"200138.9307"	"204996.1739"	"3s2.3p4.(1D).4d"	"2F"	"7/2"	"3s2.3p4.(3P<2>).5f"	"2[3]*"	"7/2"		""	"L11520"	
Ar	2	"2058.9642"	"11"	""		"202420.5754"	"207277.3869"	"3s2.3p4.(3P).6p"	"4P*"	"1/2"	"3s2.3p4.(3P).7s"	"4P"	"3/2"		""	"L11520"	
Ar	2	"2060.1474"	"5"	""		"195297.6798"	"200151.7014"	"3s2.3p4.(3P<2>).4f"	"2[1]*"	"3/2"	"3s2.3p4.(3P).5d"	"4D"	"3/2"		""	"L11520"	
Ar	2	"2061.3483"	"5"	""		"209338.2903"	"214189.4823"	"3s2.3p4.(1D<2>).4f"	"2[4]*"	"9/2"	"3s2.3p4.(1D).5d"	"2G"	"9/2"		""	"L11520"	
Ar	2	"2061.9137"	"4"	""		"201781.8583"	"206631.7185"	"3s2.3p4.(3P).5d"	"4P"	"5/2"	"3s2.3p4.(3P<0>).5f"	"2[3]*"	"5/2"		""	"L11520"	
Ar	1	"2062.186"	"50"	"3.9e+05"	D	"107289.7001"	"112138.924"	"3s2.3p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"		"T1618n"	"L2634"	
Ar	2	"2062.8503"	"18"	""		"203918.1752"	"208765.8367"	"3s2.3p4.(3P).6p"	"4S*"	"3/2"	"3s2.3p4.(3P).7s"	"2P"	"1/2"		""	"L11520"	
Ar	2	"2063.1756"	"4"	""		"209337.9564"	"214184.8519"	"3s2.3p4.(1D<2>).4f"	"2[4]*"	"7/2"	"3s2.3p4.(1D).5d"	"2G"	"7/2"		""	"L11520"	
Ar	2	"2065.2382"	"10"	""		"201781.8583"	"206623.9138"	"3s2.3p4.(3P).5d"	"4P"	"5/2"	"3s2.3p4.(3P<0>).5f"	"2[3]*"	"7/2"		""	"L9974"	
Ar	2	"2065.4206"	"10"	""		"202253.6552"	"207095.2846"	"3s2.3p4.(3P).6p"	"4P*"	"3/2"	"3s2.3p4.(3P).7s"	"4P"	"5/2"		""	"L11520"	
Ar	2	"2070.8077"	"4"	""		"186340.5616"	"191169.5946"	"3s2.3p4.(3P).4d"	"4F"	"3/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"		""	"L11520"	
Ar	2	"2072.13294"	"43"	""		"200151.7014"	"204977.6464"	"3s2.3p4.(3P).5d"	"4D"	"3/2"	"3s2.3p4.(3P<2>).5f"	"2[3]*"	"5/2"		""	"L11520"	
Ar	2	"2075.1092"	"8"	""		"200110.4236"	"204929.4477"	"3s2.3p4.(3P).6s"	"4P"	"1/2"	"3s2.3p4.(3P).6p"	"2S*"	"1/2"		""	"L11520"	
Ar	2	"2078.9091"	"5"	""		"202467.1718"	"207277.3869"	"3s2.3p4.(3P).6p"	"4D*"	"3/2"	"3s2.3p4.(3P).7s"	"4P"	"3/2"		""	"L11520"	
Ar	2	"2083.8028"	"5"	""		"200138.9307"	"204937.8473"	"3s2.3p4.(1D).4d"	"2F"	"7/2"	"3s2.3p4.(3P<2>).5f"	"2[4]*"	"9/2"		""	"L11520"	
Ar	2	"2084.45924"	"83"	""		"201351.6169"	"206149.0242"	"3s2.3p4.(3P).5d"	"4F"	"5/2"	"3s2.3p4.(3P<1>).5f"	"2[4]*"	"7/2"		""	"L11520"	
Ar	2	"2084.7438"	"18"	""		"194883.0921"	"199679.8440"	"3s2.3p4.(3P<2>).4f"	"2[3]*"	"7/2"	"3s2.3p4.(1D).4d"	"2D"	"5/2"		""	"L11520"	
Ar	2	"2091.9632"	"11"	""		"183986.0137"	"188766.2129"	"3s2.3p4.(3P).4d"	"4D"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"5/2"		""	"L11520"	
Ar	2	"2092.1965"	"5"	""		"199138.5106"	"203918.1752"	"3s2.3p4.(3P).6s"	"4P"	"3/2"	"3s2.3p4.(3P).6p"	"4S*"	"3/2"		""	"L11520"	
